Before & After	Number of Words	Total Number of Letters	First Word Letters
'tis The Season Tickets	4	19	3
A Beautiful Life Jacket	4	20	1
A Blast From The Past Present And Future	8	33	1
A Breath Of Fresh Air Fryer	6	22	1
A Chip Off The Old Block And Tackle	8	28	1
A Chip Off The Old Block Party	7	24	1
A Christmas Story For The Ages	6	25	1
A Cure For The Common Cold Cuts	7	25	1
A Cut Above The Rest Is History	7	25	1
A Dream Come True Detective	5	23	1
A Glass Of Water Buffalo	5	20	1
A Hard Act To Follow The Leader	7	25	1
A Hole In One-Way Ticket	5	19	1
A Hop Skip And A Jump	6	16	1
A House Is Not A Home On The Range	9	26	1
A Long Shot In The Dark	6	18	1
A Man On A Mission Statement	6	23	1
A Nose For News Director	5	20	1
A No-Win Situation Comedy	4	21	1
A Quick Bite To Eat My Words	7	22	1
A Red-Letter Day By Day	5	18	1
A Sheepish Grin And Bear It	6	22	1
A Shiny New Penny Marshall	5	22	1
A Tough Act To Follow The Leader	7	26	1
A Trip To Boston Baked Beans	6	23	1
A Trip To Boston Cream Pie	6	21	1
A Visit To The Pet Shop Boys	7	22	1
Abbey Road To Perdition	4	20	5
Abraham Lincoln Nebraska	3	22	7
Abraham Lincoln Tunnel	3	20	7
Absent Without Leave It To Beaver	6	28	6
Absolute Truth Is Stranger Than Fiction	6	34	8
Accept The Fact Or Fiction	5	22	6
Accept The Fact Or Fiction?	5	22	6
Achievable Goal Line	3	18	10
Acid Test Tube	3	12	4
Act Natural Beauty	3	16	3
Act Your Age Before Beauty	5	22	3
Act Your Age Of Innocence	5	21	3
Active Duty Calls	3	15	6
Active Military Museum	3	20	6
Adam's Apple Of My Eye	5	17	5
Adam's Apple Pie	3	13	5
Adam's Apple Pie A La Mode	6	20	5
Adam's Apple Turnover	3	18	5
Add Fuel To The Fire Extinguisher	6	28	3
Add Volcanic Rock The Casbah	5	24	3
Agatha Christie Brinkley	3	22	6
Age Before Beauty Secrets	4	22	3
Ageless Beauty Mark	3	17	7
Aiming High Cheekbones	3	20	6
Air Force One In A Million	6	21	3
Air Space Station	3	15	3
Airport Bar Of Soap	4	16	7
Airport Runway Model	3	18	7
Al Green Bay	3	10	2
Al Green Onion	3	12	2
Al Green Turtle	3	13	2
Alan Jackson Hole Wyoming	4	22	4
Alexander Graham Bell Ringer	4	25	9
Alexander The Great Balls Of Fire	6	28	9
Alexander The Great Britain	4	24	9
Alexander The Great Dane	4	21	9
Alexander The Great Minds Think Alike	6	32	9
Alexander The Great Smoky Mountains	5	31	9
Alive And Kicking Back	4	19	5
All For One And One For All In The Family	10	32	3
All Hands On Deck Chairs	5	20	3
All Rise For The Queen Bee	6	21	3
All Roads Lead To Rome Wasn't Built In A Day	10	34	3
All Sales Are Final Exam	5	20	3
All The Time Zone	4	14	3
All The World's A Stage Fright	6	24	3
Allied Forces Beyond Our Control	5	28	6
Almond Joy Behar	3	14	6
Almond Joy To The World	5	19	6
Alter Ego Trip	3	12	5
Alton Brown And Serve Rolls	5	23	5
Always Be Polite To A Lady Antebellum	7	31	6
Amazing Bookstores	2	17	7
Amazing Trick Knee	3	16	7
Amazon Jungle Gym	3	15	6
America The Beautiful Model	4	24	7
America's Final Season Premiere	4	27	8
America's Game Of Thrones	4	21	8
American Buffalo Wings	3	20	8
American Express Yourself	3	23	8
American Graffiti Artist	3	22	8
American Pie Plate	3	16	8
American Pie Tin	3	14	8
American Red Cross Your Heart	5	25	8
America's Next Top Model Train Set	6	28	8
Amusement Park Ranger	3	19	9
Amy Grant Permission	3	18	3
An American Werewolf In London Calling	6	33	2
Ancient Stone Temple Pilots	4	24	7
Ancient Times Square	3	18	7
Andrew Dice Clay Aiken	4	19	6
Andrew Jackson Hole Wyoming	4	24	6
Angry Birds Of A Feather	5	20	5
Any Given Sunday Driver	4	20	3
Apartment Complex Carbohydrates	3	29	9
Apocalypse Now And Again	4	21	10
Apple Watch Very Carefully	4	23	5
April Shower Cap	3	14	5
Arctic Circle Of Friends	4	21	6
Are You Ready Cash	4	15	3
Army Major Stumbling Block	4	23	4
Artichoke Heart Of Darkness	4	24	9
Artichoke Heart Of The Matter	5	25	9
Artichoke Heart Surgeon	3	21	9
Artist's Board Of Directors	4	23	7
Asparagus Tip Of The Iceberg	5	24	9
Assume Identity Crisis	3	20	6
Assumed Identity Crisis	3	21	7
Athlete's Foot Massage	3	19	8
Athlete's Foot Soldier	3	19	8
Atomic Mass Audience	3	18	6
Audio Clip Art	3	12	5
Austin Powers That Be	4	18	6
Authorized Signature Song	3	23	10
Baby Blue River	3	13	4
Baby On Board Of Directors	5	22	4
Baby We Were Born To Run Out Of Gas	9	27	4
Back To Square One In A Million	7	25	4
Back To The Future Plans	5	20	4
Backroom Deal Me In	4	16	8
Backward Pass The Ketchup	4	22	8
Bacon Slice Of Pie	4	15	5
Bad Hair Day Care Center	5	20	3
Baking & Blasting Powder	3	20	6
Baking From Scratch ‘N' Sniff	5	24	6
Baking From Scratch “N” Sniff	5	25	6
Baking From Scratch 'N' Sniff	5	23	6
Baking Powder Puff	3	16	6
Baking Soda Fountain	3	18	6
Baking Soda Pop	3	13	6
Balance Beam Of Light	4	18	7
Balance Of Power Mower	4	19	7
Bald Eagle Scout	3	14	4
Ballot Box Of Candy	4	16	6
Bamboo Shoot The Breeze	4	20	6
Banana Split Decision	3	19	6
Banana Split Ends	3	15	6
Banana Split Infinitive	3	21	6
Banana Split Personality	3	22	6
Banana Split Second	3	17	6
Banana Split The Difference	4	24	6
Bank Holiday Party	3	16	4
Banquet Hall Of Fame	4	17	7
Baseball Diamond Earrings	3	23	8
Baseball Diamond In The Rough	5	25	8
Baseball Diamond Ring	3	19	8
Baseball Park Your Car	4	19	8
Basketball Court Of Law	4	20	10
Basketball Hoop Skirt	3	19	10
Basketball Player Piano	3	21	10
Basset Hounds Of Baskerville	4	25	6
Batman & Robin Thicke	3	17	6
Batman And Robin Thicke	4	20	6
Batman Villain Scarecrow	3	22	6
Batting Cage Match	3	16	7
Batting Practice Makes Perfect	4	27	7
Be My Little Baby Corn	5	18	2
Beaming With Pride Of The Irish	6	26	7
Beat Around The Bush Administration	5	31	4
Beautiful Maiden Voyage	3	21	9
Beauty And The Beast Mode	5	21	6
Beauty And The Beast Of Burden	6	25	6
